Ref,Val,Package,PosX,PosY,Rot,Side
"D75","D_Small_ALT","D_SOD-123F",77.724000,-149.606000,255.000000,top
"D76","D_Small_ALT","D_SOD-123F",97.282000,-149.860000,255.000000,top
"D77","D_Small_ALT","D_SOD-123F",115.824000,-154.940000,255.000000,top
"D78","D_Small_ALT","D_SOD-123F",133.604000,-162.052000,255.000000,top
"D79","D_Small_ALT","D_SOD-123F",151.892000,-162.306000,255.000000,top
"D80","D_Small_ALT","D_SOD-123F",189.738000,-170.688000,270.000000,top
"D81","D_Small_ALT","D_SOD-123F",208.788000,-170.688000,270.000000,top
"D82","D_Small_ALT","D_SOD-123F",227.838000,-170.688000,270.000000,top
"D83","D_Small_ALT","D_SOD-123F",246.888000,-170.688000,270.000000,top
"D84","D_Small_ALT","D_SOD-123F",268.224000,-163.068000,285.000000,top
"D85","D_Small_ALT","D_SOD-123F",304.038000,-154.940000,285.000000,top
"D86","D_Small_ALT","D_SOD-123F",322.580000,-149.860000,285.000000,top
"D87","D_Small_ALT","D_SOD-123F",342.138000,-149.606000,285.000000,top
"D88","D_Small_ALT","D_SOD-123F",360.934000,-146.050000,285.000000,top
"D89","D_Small_ALT","D_SOD-123F",379.222000,-141.224000,285.000000,top
"D90","D_Small_ALT","D_SOD-123F",396.367000,-136.017000,285.000000,top
"F1","Polyfuse_Small","Fuse_0402_1005Metric",228.623000,-80.772000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",209.941997,-78.740000,180.000000,top
"R1","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",232.156000,-80.264000,180.000000,top
"R2","22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",232.156000,-79.248000,180.000000,top
"R3","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",231.140000,-85.979000,270.000000,top
"R4","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",243.190000,-86.400000,135.000000,top
"R5","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",214.940000,-84.530000,180.000000,top
"R6","5.1k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",204.950000,-84.540000,0.000000,top
"SWRST1","SW_Push","SW_SPST_TL3342",190.246000,-79.756000,0.000000,top
"U1","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",237.490000,-84.582000,315.000000,top
"U2","SRV05-4","SOT-23-6",218.440000,-82.296000,0.000000,top
"Y1","16mhz","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm",227.838000,-86.995000,90.000000,top
