Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D67,D_Small_ALT,D_SOD-123F,299.212,-136.525,-75.0,top
D68,D_Small_ALT,D_SOD-123F,317.627,-131.445,-75.0,top
D69,D_Small_ALT,D_SOD-123F,337.312,-131.191,-75.0,top
D70,D_Small_ALT,D_SOD-123F,356.108,-127.762,-75.0,top
D71,D_Small_ALT,D_SOD-123F,374.396,-122.809,-75.0,top
D72,D_Small_ALT,D_SOD-123F,391.541,-117.729,-75.0,top
D73,D_Small_ALT,D_SOD-123F,40.386,-140.97,-105.0,top
D74,D_Small_ALT,D_SOD-123F,58.674,-146.05,-105.0,top
D75,D_Small_ALT,D_SOD-123F,77.724,-149.606,-105.0,top
D76,D_Small_ALT,D_SOD-123F,97.282,-149.86,-105.0,top
D77,D_Small_ALT,D_SOD-123F,115.824,-154.94,-105.0,top
D78,D_Small_ALT,D_SOD-123F,133.604,-162.052,-105.0,top
D79,D_Small_ALT,D_SOD-123F,151.892,-162.306,-105.0,top
D80,D_Small_ALT,D_SOD-123F,189.738,-170.688,-90.0,top
D81,D_Small_ALT,D_SOD-123F,208.788,-170.688,-90.0,top
D82,D_Small_ALT,D_SOD-123F,227.838,-170.688,-90.0,top
D83,D_Small_ALT,D_SOD-123F,246.888,-170.688,-90.0,top
D84,D_Small_ALT,D_SOD-123F,268.224,-163.068,-75.0,top
D85,D_Small_ALT,D_SOD-123F,304.038,-154.94,-75.0,top
D86,D_Small_ALT,D_SOD-123F,322.58,-149.86,-75.0,top
D87,D_Small_ALT,D_SOD-123F,342.138,-149.606,-75.0,top
D88,D_Small_ALT,D_SOD-123F,360.934,-146.05,-75.0,top
D89,D_Small_ALT,D_SOD-123F,379.222,-141.224,-75.0,top
D90,D_Small_ALT,D_SOD-123F,396.367,-136.017,-75.0,top
F1,Polyfuse_Small,Fuse_0402_1005Metric,228.623,-80.772,180.0,top
U2,SRV05-4,SOT-23-6,218.44,-82.296,180.0,top
SW1,SW_Push,MX-Alps-Choc-1U-NoLED,49.16903,-71.493463,-15.0,top
SWRST1,SW_Push,SW_SPST_TL3342,190.246,-79.756,0.0,top
SW2,SW_Push,MX-Alps-Choc-1U-NoLED,67.327029,-77.849034,-15.0,top
SW3,SW_Push,MX-Alps-Choc-1U-NoLED,86.023553,-81.358292,-15.0,top
SW4,SW_Push,MX-Alps-Choc-1U-NoLED,105.734716,-81.627501,-15.0,top
SW5,SW_Push,MX-Alps-Choc-1U-NoLED,124.50726,-85.2332,-15.0,top
SW6,SW_Push,MX-Alps-Choc-1U-NoLED,142.531802,-91.486619,-15.0,top
SW7,SW_Push,MX-Alps-Choc-1U-NoLED,160.272107,-98.735438,-15.0,top
SW8,SW_Push,MX-Alps-Choc-1U-NoLED,181.480027,-101.66886,0.0,top
SW9,SW_Push,MX-Alps-Choc-1U-NoLED,200.463938,-101.669622,0.0,top
SW10,SW_Push,MX-Alps-Choc-1U-NoLED,219.468099,-101.66985,0.0,top
SW11,SW_Push,MX-Alps-Choc-1U-NoLED,238.456946,-101.669702,0.0,top
SW12,SW_Push,MX-Alps-Choc-1U-NoLED,259.542923,-98.778615,15.0,top
SW13,SW_Push,MX-Alps-Choc-1U-NoLED,277.263015,-91.551013,15.0,top
SW14,SW_Push,MX-Alps-Choc-1U-NoLED,295.299023,-85.298398,15.0,top
SW15,SW_Push,MX-Alps-Choc-1U-NoLED,314.083964,-81.715986,15.0,top
SW16,SW_Push,MX-Alps-Choc-1U-NoLED,333.78279,-81.384139,15.0,top
SW17,SW_Push,MX-Alps-Choc-1U-NoLED,352.517766,-77.93199,15.0,top
SW18,SW_Push,MX-Alps-Choc-1U-NoLED,370.579461,-71.539701,15.0,top
SW19,SW_Push,MX-Alps-Choc-1U-NoLED,44.300493,-89.722444,-15.0,top
SW20,SW_Push,MX-Alps-Choc-1U-NoLED,62.430262,-96.11517,-15.0,top
SW21,SW_Push,MX-Alps-Choc-1U-NoLED,81.131171,-99.585175,-15.0,top
SW22,SW_Push,MX-Alps-Choc-1U-NoLED,100.821384,-99.99655,-15.0,top
SW23,SW_Push,MX-Alps-Choc-1U-NoLED,119.525553,-103.650411,-15.0,top
SW24,SW_Push,MX-Alps-Choc-1U-NoLED,137.601704,-109.882906,-15.0,top
SW25,SW_Push,MX-Alps-Choc-1U-NoLED,155.294954,-117.18078,-15.0,top
SW26,SW_Push,MX-Alps-Choc-1U-NoLED,181.482461,-120.687059,0.0,top
SW27,SW_Push,MX-Alps-Choc-1U-NoLED,200.469234,-120.688156,0.0,top
SW28,SW_Push,MX-Alps-Choc-1U-NoLED,219.459244,-120.688139,0.0,top
SW29,SW_Push,MX-Alps-Choc-1U-NoLED,238.440303,-120.688345,0.0,top
SW30,SW_Push,MX-Alps-Choc-1U-NoLED,264.452296,-117.249533,15.0,top
SW31,SW_Push,MX-Alps-Choc-1U-NoLED,282.204409,-110.034236,15.0,top
SW32,SW_Push,MX-Alps-Choc-1U-NoLED,300.311915,-103.736212,15.0,top
SW33,SW_Push,MX-Alps-Choc-1U-NoLED,319.004723,-100.060778,15.0,top
SW34,SW_Push,MX-Alps-Choc-1U-NoLED,338.677427,-99.665571,15.0,top
SW35,SW_Push,MX-Alps-Choc-1U-NoLED,357.425807,-96.201247,15.0,top
SW36,SW_Push,MX-Alps-Choc-1U-NoLED,375.457623,-89.810572,15.0,top
SW37,SW_Push,MX-Alps-Choc-1U-NoLED,39.368987,-108.269808,-15.0,top
SW38,SW_Push,MX-Alps-Choc-1U-NoLED,57.419567,-114.687555,-15.0,top
SW39,SW_Push,MX-Alps-Choc-1U-NoLED,76.169282,-118.14581,-15.0,top
SW40,SW_Push,MX-Alps-Choc-1U-NoLED,95.867582,-118.435457,-15.0,top
SW41,SW_Push,MX-Alps-Choc-1U-NoLED,114.548002,-122.069895,-15.0,top
SW42,SW_Push,MX-Alps-Choc-1U-NoLED,132.69864,-128.300592,-15.0,top
SW43,SW_Push,MX-Alps-Choc-1U-NoLED,150.412981,-135.531031,-15.0,top
SW44,SW_Push,MX-Alps-Choc-1U-NoLED,181.479982,-139.69789,0.0,top
